"catalog","well","plate","letter","number","replicate","date","thermocycler","flag","notes","LCO_CFMRb","LCO_HCO","fwhF2_fwhR2","AJHFwd1_dR","fwhF2_HCO"
"CASENT9131253","B8","P5","B","8","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130839","C8","P5","C","8","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130273","D8","P5","D","8","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131070","E8","P5","E","8","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131231","F8","P5","F","8","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131126","G8","P5","G","8","P5_pcr.v1",23-08-10,"?","","","y",NA,NA,NA,NA
"CASENT9131081","H8","P5","H","8","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130622","A9","P5","A","9","P5_pcr.v1",23-08-10,"?","","","y",NA,NA,NA,NA
"CASENT9130857","B9","P5","B","9","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130908","C9","P5","C","9","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131242","D9","P5","D","9","P5_pcr.v1",23-08-10,"?","","","y",NA,NA,NA,NA
"CASENT9131403","E9","P5","E","9","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131110","F9","P5","F","9","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131194","G9","P5","G","9","P5_pcr.v1",23-08-10,"?","","","y",NA,NA,NA,NA
"CASENT9131352","H9","P5","H","9","P5_pcr.v1",23-08-10,"?","","","y",NA,NA,NA,NA
"CASENT9131380","A10","P5","A","10","P5_pcr.v1",23-08-10,"?","","","y",NA,NA,NA,NA
"CASENT9131145","B10","P5","B","10","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131273","C10","P5","C","10","P5_pcr.v1",23-08-10,"?","","","y",NA,NA,NA,NA
"CASENT9131354","D10","P5","D","10","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131384","E10","P5","E","10","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131364","F10","P5","F","10","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130958","G10","P5","G","10","P5_pcr.v1",23-08-10,"?","","","y",NA,NA,NA,NA
"CASENT9130544","H10","P5","H","10","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130984","A11","P5","A","11","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130990","B11","P5","B","11","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130865","C11","P5","C","11","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130831","D11","P5","D","11","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131128","E11","P5","E","11","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130696","F11","P5","F","11","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130909","G11","P5","G","11","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130513","H11","P5","H","11","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131104","A12","P5","A","12","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9131361","B12","P5","B","12","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
"CASENT9130569","C12","P5","C","12","P5_pcr.v1",23-08-10,"?","","","n",NA,NA,NA,NA
