"catalog","well","plate","letter","number","replicate","date","thermocycler","flag","notes","LCO_CFMRb","LCO_HCO","fwhF2_fwhR2","AJHFwd1_dR","fwhF2_HCO"
"CASENT9132010","B4","P21","B","4","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132095","C4","P21","C","4","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132186","D4","P21","D","4","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132184","E4","P21","E","4","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132000","F4","P21","F","4","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132003","G4","P21","G","4","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132012","H4","P21","H","4","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132009","A5","P21","A","5","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132207","B5","P21","B","5","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132215","C5","P21","C","5","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132203","D5","P21","D","5","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132133","E5","P21","E","5","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132070","F5","P21","F","5","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132065","G5","P21","G","5","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131981","H5","P21","H","5","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132150","A6","P21","A","6","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132149","B6","P21","B","6","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132227","C6","P21","C","6","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132198","D6","P21","D","6","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132134","E6","P21","E","6","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132210","F6","P21","F","6","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132213","G6","P21","G","6","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131938","H6","P21","H","6","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132005","A7","P21","A","7","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132141","B7","P21","B","7","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132142","C7","P21","C","7","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132006","D7","P21","D","7","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132089","E7","P21","E","7","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132220","F7","P21","F","7","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132004","G7","P21","G","7","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132211","H7","P21","H","7","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131975","A8","P21","A","8","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132214","B8","P21","B","8","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132130","C8","P21","C","8","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132139","D8","P21","D","8","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131987","E8","P21","E","8","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132138","F8","P21","F","8","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132208","G8","P21","G","8","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132007","H8","P21","H","8","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131979","A9","P21","A","9","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132073","B9","P21","B","9","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132196","C9","P21","C","9","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131988","D9","P21","D","9","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131940","E9","P21","E","9","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132223","F9","P21","F","9","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132026","G9","P21","G","9","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131984","H9","P21","H","9","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132090","A10","P21","A","10","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131977","B10","P21","B","10","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132061","C10","P21","C","10","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132086","D10","P21","D","10","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132084","E10","P21","E","10","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132052","F10","P21","F","10","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132035","G10","P21","G","10","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132063","H10","P21","H","10","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132037","A11","P21","A","11","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132055","B11","P21","B","11","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132054","C11","P21","C","11","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132038","D11","P21","D","11","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132056","E11","P21","E","11","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131947","F11","P21","F","11","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132020","G11","P21","G","11","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132023","H11","P21","H","11","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132087","A12","P21","A","12","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131943","B12","P21","B","12","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131976","C12","P21","C","12","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132031","D12","P21","D","12","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9132028","E12","P21","E","12","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9131941","F12","P21","F","12","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"","G12","P21","G","12","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"","H12","P21","H","12","P21_pcr.v1",2023-08-28,"#4","y","P200 repeater used for mastermix - unequal distribution due to last calibration being in 2016","n",NA,NA,NA,NA
"CASENT9130526","A1","P9","A","1","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130615","B1","P9","B","1","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130601","C1","P9","C","1","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130522","D1","P9","D","1","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130714","E1","P9","E","1","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131405","F1","P9","F","1","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130725","G1","P9","G","1","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130782","H1","P9","H","1","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131440","A2","P9","A","2","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130930","B2","P9","B","2","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130814","C2","P9","C","2","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131349","D2","P9","D","2","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130541","E2","P9","E","2","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130896","F2","P9","F","2","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130704","G2","P9","G","2","P9_pcr.v1",2023-09-13,"#4","","","n","n","y",NA,NA
"CASENT9130555","H2","P9","H","2","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130744","A3","P9","A","3","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130305","B3","P9","B","3","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131002","C3","P9","C","3","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130900","D3","P9","D","3","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130563","E3","P9","E","3","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130913","F3","P9","F","3","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130925","G3","P9","G","3","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131151","H3","P9","H","3","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131426","A4","P9","A","4","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131430","B4","P9","B","4","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130864","C4","P9","C","4","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130812","D4","P9","D","4","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130916","E4","P9","E","4","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131048","F4","P9","F","4","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130280","G4","P9","G","4","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130025","H4","P9","H","4","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130717","A5","P9","A","5","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130723","B5","P9","B","5","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130914","C5","P9","C","5","P9_pcr.v1",2023-09-13,"#4","","","n","n","y",NA,NA
"CASENT9131006","D5","P9","D","5","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130820","E5","P9","E","5","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130795","F5","P9","F","5","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131270","G5","P9","G","5","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131342","H5","P9","H","5","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130537","A6","P9","A","6","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130928","B6","P9","B","6","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130655","C6","P9","C","6","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130823","D6","P9","D","6","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130935","E6","P9","E","6","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131427","F6","P9","F","6","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131121","G6","P9","G","6","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131324","H6","P9","H","6","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130626","A7","P9","A","7","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130483","B7","P9","B","7","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131142","C7","P9","C","7","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131232","D7","P9","D","7","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130706","E7","P9","E","7","P9_pcr.v1",2023-09-13,"#4","","","y","y","y",NA,NA
"CASENT9131266","F7","P9","F","7","P9_pcr.v1",2023-09-13,"#4","","","y","y","n",NA,NA
"CASENT9131041","G7","P9","G","7","P9_pcr.v1",2023-09-13,"#4","","","y","y","y",NA,NA
"CASENT9131229","H7","P9","H","7","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131214","A8","P9","A","8","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130642","B8","P9","B","8","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130712","C8","P9","C","8","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130780","D8","P9","D","8","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130898","E8","P9","E","8","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130652","F8","P9","F","8","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131392","G8","P9","G","8","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130512","H8","P9","H","8","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9130079","A9","P9","A","9","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130173","B9","P9","B","9","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130253","C9","P9","C","9","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130062","D9","P9","D","9","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130579","E9","P9","E","9","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131422","F9","P9","F","9","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131237","G9","P9","G","9","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131206","H9","P9","H","9","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131188","A10","P9","A","10","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131211","B10","P9","B","10","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131261","C10","P9","C","10","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131220","D10","P9","D","10","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131234","E10","P9","E","10","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131113","F10","P9","F","10","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131219","G10","P9","G","10","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131177","H10","P9","H","10","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131322","A11","P9","A","11","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131263","B11","P9","B","11","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130688","C11","P9","C","11","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130975","D11","P9","D","11","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131249","E11","P9","E","11","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130610","F11","P9","F","11","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131335","G11","P9","G","11","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131388","H11","P9","H","11","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9130594","A12","P9","A","12","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9131375","B12","P9","B","12","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130904","C12","P9","C","12","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131374","D12","P9","D","12","P9_pcr.v1",2023-09-13,"#4","","","y","n","y",NA,NA
"CASENT9131345","E12","P9","E","12","P9_pcr.v1",2023-09-13,"#4","","","y","n","n",NA,NA
"CASENT9131257","F12","P9","F","12","P9_pcr.v1",2023-09-13,"#4","","","n","n","y",NA,NA
"","G12","P9","G","12","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"","H12","P9","H","12","P9_pcr.v1",2023-09-13,"#4","","","n","n","n",NA,NA
"CASENT9130526","A1","P9","A","1","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130615","B1","P9","B","1","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130601","C1","P9","C","1","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130522","D1","P9","D","1","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130714","E1","P9","E","1","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131405","F1","P9","F","1","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130725","G1","P9","G","1","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130782","H1","P9","H","1","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131440","A2","P9","A","2","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130930","B2","P9","B","2","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130814","C2","P9","C","2","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131349","D2","P9","D","2","P9_pcr.v2",2023-09-14,"#4","","",NA,"y",NA,NA,NA
"CASENT9130541","E2","P9","E","2","P9_pcr.v2",2023-09-14,"#4","","",NA,"y",NA,NA,NA
"CASENT9130896","F2","P9","F","2","P9_pcr.v2",2023-09-14,"#4","","",NA,"y",NA,NA,NA
"CASENT9130704","G2","P9","G","2","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130555","H2","P9","H","2","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130744","A3","P9","A","3","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130305","B3","P9","B","3","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131002","C3","P9","C","3","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130900","D3","P9","D","3","P9_pcr.v2",2023-09-14,"#4","","",NA,"y",NA,NA,NA
"CASENT9130563","E3","P9","E","3","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130913","F3","P9","F","3","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130925","G3","P9","G","3","P9_pcr.v2",2023-09-14,"#4","","",NA,"y",NA,NA,NA
"CASENT9131151","H3","P9","H","3","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131426","A4","P9","A","4","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131430","B4","P9","B","4","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130864","C4","P9","C","4","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130812","D4","P9","D","4","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130916","E4","P9","E","4","P9_pcr.v2",2023-09-14,"#4","","",NA,"y",NA,NA,NA
"CASENT9131048","F4","P9","F","4","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130280","G4","P9","G","4","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130025","H4","P9","H","4","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130717","A5","P9","A","5","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130723","B5","P9","B","5","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130914","C5","P9","C","5","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131006","D5","P9","D","5","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130820","E5","P9","E","5","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130795","F5","P9","F","5","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131270","G5","P9","G","5","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9131342","H5","P9","H","5","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130537","A6","P9","A","6","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130928","B6","P9","B","6","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130655","C6","P9","C","6","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130823","D6","P9","D","6","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
"CASENT9130935","E6","P9","E","6","P9_pcr.v2",2023-09-14,"#4","","",NA,"n",NA,NA,NA
