catalog,well,plate,letter,number,primer_f,primer_r,thermocycler,band,date,flag,notes,primers,evaporated,
CASENT9130262,F3,P17,F,3,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130039,G3,P17,G,3,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130056,H3,P17,H,3,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130026,A4,P17,A,4,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130158,B4,P17,B,4,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130257,C4,P17,C,4,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130135,D4,P17,D,4,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130754,E4,P17,E,4,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130741,F4,P17,F,4,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130281,G4,P17,G,4,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130959,H4,P17,H,4,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130509,A5,P17,A,5,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130489,B5,P17,B,5,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130645,C5,P17,C,5,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130485,D5,P17,D,5,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130711,E5,P17,E,5,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131226,F5,P17,F,5,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131329,G5,P17,G,5,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131133,H5,P17,H,5,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130656,A6,P17,A,6,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130033,B6,P17,B,6,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130046,C6,P17,C,6,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130245,D6,P17,D,6,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131159,E6,P17,E,6,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130524,F6,P17,F,6,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131062,G6,P17,G,6,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130270,H6,P17,H,6,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130356,A7,P17,A,7,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131316,B7,P17,B,7,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130362,C7,P17,C,7,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130197,D7,P17,D,7,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131367,E7,P17,E,7,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130171,F7,P17,F,7,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131162,G7,P17,G,7,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130236,H7,P17,H,7,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130203,A8,P17,A,8,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130196,B8,P17,B,8,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131061,C8,P17,C,8,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130261,D8,P17,D,8,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130438,E8,P17,E,8,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130129,F8,P17,F,8,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130860,G8,P17,G,8,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130339,H8,P17,H,8,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130401,A9,P17,A,9,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130024,B9,P17,B,9,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130396,C9,P17,C,9,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130378,D9,P17,D,9,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130440,E9,P17,E,9,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130338,F9,P17,F,9,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130023,G9,P17,G,9,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130359,H9,P17,H,9,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130360,A10,P17,A,10,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130189,B10,P17,B,10,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130122,C10,P17,C,10,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130128,D10,P17,D,10,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130036,E10,P17,E,10,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130451,F10,P17,F,10,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130583,G10,P17,G,10,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130008,H10,P17,H,10,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130255,A11,P17,A,11,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130154,B11,P17,B,11,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130121,C11,P17,C,11,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130443,D11,P17,D,11,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130061,E11,P17,E,11,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130053,F11,P17,F,11,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130926,G11,P17,G,11,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9131186,H11,P17,H,11,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130875,A12,P17,A,12,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130721,B12,P17,B,12,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130070,C12,P17,C,12,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130003,D12,P17,D,12,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130057,E12,P17,E,12,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130055,F12,P17,F,12,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
,G12,P17,G,12,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
,H12,P17,H,12,fwhF2,fwhR2,,,10/4/2023,,not imaged; unsuccessful?,fwh,,
CASENT9130211,A1,P17,A,1,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130172,B1,P17,B,1,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130685,C1,P17,C,1,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130132,D1,P17,D,1,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130785,E1,P17,E,1,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130697,F1,P17,F,1,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130856,G1,P17,G,1,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130170,H1,P17,H,1,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130088,A2,P17,A,2,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130657,B2,P17,B,2,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130617,C2,P17,C,2,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130411,D2,P17,D,2,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130582,E2,P17,E,2,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130663,F2,P17,F,2,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130073,G2,P17,G,2,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130000,H2,P17,H,2,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130321,A3,P17,A,3,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130068,B3,P17,B,3,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130123,C3,P17,C,3,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130054,D3,P17,D,3,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130047,E3,P17,E,3,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130262,F3,P17,F,3,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130039,G3,P17,G,3,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130056,H3,P17,H,3,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130026,A4,P17,A,4,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130158,B4,P17,B,4,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130257,C4,P17,C,4,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130135,D4,P17,D,4,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130754,E4,P17,E,4,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130741,F4,P17,F,4,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130281,G4,P17,G,4,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130959,H4,P17,H,4,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130509,A5,P17,A,5,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130489,B5,P17,B,5,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130645,C5,P17,C,5,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130485,D5,P17,D,5,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130711,E5,P17,E,5,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131226,F5,P17,F,5,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131329,G5,P17,G,5,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131133,H5,P17,H,5,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130656,A6,P17,A,6,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130033,B6,P17,B,6,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130046,C6,P17,C,6,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130245,D6,P17,D,6,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131159,E6,P17,E,6,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130524,F6,P17,F,6,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131062,G6,P17,G,6,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130270,H6,P17,H,6,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130356,A7,P17,A,7,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131316,B7,P17,B,7,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130362,C7,P17,C,7,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130197,D7,P17,D,7,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131367,E7,P17,E,7,LCO,CFMRb,#6,n,12/27/2023,y,"added 3uL DNA, instead of 2uL DNA +1uL H20",,,
CASENT9130171,F7,P17,F,7,LCO,CFMRb,#6,n,12/27/2023,y,"added 3uL DNA, instead of 2uL DNA +1uL H21",,,
CASENT9131162,G7,P17,G,7,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130236,H7,P17,H,7,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130203,A8,P17,A,8,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130196,B8,P17,B,8,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131061,C8,P17,C,8,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130261,D8,P17,D,8,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130438,E8,P17,E,8,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130129,F8,P17,F,8,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130860,G8,P17,G,8,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130339,H8,P17,H,8,LCO,CFMRb,#6,y,12/27/2023,,,,,
CASENT9130401,A9,P17,A,9,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130024,B9,P17,B,9,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130396,C9,P17,C,9,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130378,D9,P17,D,9,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130440,E9,P17,E,9,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130338,F9,P17,F,9,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130023,G9,P17,G,9,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130359,H9,P17,H,9,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130360,A10,P17,A,10,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130189,B10,P17,B,10,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130122,C10,P17,C,10,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130128,D10,P17,D,10,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130036,E10,P17,E,10,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130451,F10,P17,F,10,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130583,G10,P17,G,10,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130008,H10,P17,H,10,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130255,A11,P17,A,11,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130154,B11,P17,B,11,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130121,C11,P17,C,11,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130443,D11,P17,D,11,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130061,E11,P17,E,11,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130053,F11,P17,F,11,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130926,G11,P17,G,11,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9131186,H11,P17,H,11,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130875,A12,P17,A,12,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130721,B12,P17,B,12,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130070,C12,P17,C,12,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130003,D12,P17,D,12,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130057,E12,P17,E,12,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130055,F12,P17,F,12,LCO,CFMRb,#6,n,12/27/2023,,,,,
,G12,P17,G,12,LCO,CFMRb,#6,n,12/27/2023,,,,,
,H12,P17,H,12,LCO,CFMRb,#6,n,12/27/2023,,,,,
CASENT9130211,A1,P17,A,1,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130172,B1,P17,B,1,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130685,C1,P17,C,1,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130132,D1,P17,D,1,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130785,E1,P17,E,1,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130697,F1,P17,F,1,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130856,G1,P17,G,1,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130170,H1,P17,H,1,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130088,A2,P17,A,2,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130657,B2,P17,B,2,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130617,C2,P17,C,2,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130411,D2,P17,D,2,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130582,E2,P17,E,2,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130663,F2,P17,F,2,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130073,G2,P17,G,2,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130000,H2,P17,H,2,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130321,A3,P17,A,3,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130068,B3,P17,B,3,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130123,C3,P17,C,3,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130054,D3,P17,D,3,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130047,E3,P17,E,3,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130262,F3,P17,F,3,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130039,G3,P17,G,3,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130056,H3,P17,H,3,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130026,A4,P17,A,4,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130158,B4,P17,B,4,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130257,C4,P17,C,4,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130135,D4,P17,D,4,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130754,E4,P17,E,4,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130741,F4,P17,F,4,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130281,G4,P17,G,4,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130959,H4,P17,H,4,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130509,A5,P17,A,5,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130489,B5,P17,B,5,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130645,C5,P17,C,5,LCO,HCO,#6,y,12/27/2023,,,,,
CASENT9130485,D5,P17,D,5,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130711,E5,P17,E,5,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131226,F5,P17,F,5,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131329,G5,P17,G,5,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131133,H5,P17,H,5,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130656,A6,P17,A,6,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130033,B6,P17,B,6,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130046,C6,P17,C,6,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130245,D6,P17,D,6,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131159,E6,P17,E,6,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130524,F6,P17,F,6,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131062,G6,P17,G,6,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130270,H6,P17,H,6,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130356,A7,P17,A,7,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131316,B7,P17,B,7,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130362,C7,P17,C,7,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130197,D7,P17,D,7,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131367,E7,P17,E,7,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130171,F7,P17,F,7,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131162,G7,P17,G,7,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130236,H7,P17,H,7,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130203,A8,P17,A,8,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130196,B8,P17,B,8,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131061,C8,P17,C,8,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130261,D8,P17,D,8,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130438,E8,P17,E,8,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130129,F8,P17,F,8,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130860,G8,P17,G,8,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130339,H8,P17,H,8,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130401,A9,P17,A,9,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130024,B9,P17,B,9,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130396,C9,P17,C,9,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130378,D9,P17,D,9,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130440,E9,P17,E,9,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130338,F9,P17,F,9,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130023,G9,P17,G,9,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130359,H9,P17,H,9,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130360,A10,P17,A,10,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130189,B10,P17,B,10,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130122,C10,P17,C,10,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130128,D10,P17,D,10,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130036,E10,P17,E,10,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130451,F10,P17,F,10,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130583,G10,P17,G,10,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130008,H10,P17,H,10,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130255,A11,P17,A,11,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130154,B11,P17,B,11,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130121,C11,P17,C,11,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130443,D11,P17,D,11,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130061,E11,P17,E,11,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130053,F11,P17,F,11,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130926,G11,P17,G,11,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9131186,H11,P17,H,11,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130875,A12,P17,A,12,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130721,B12,P17,B,12,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130070,C12,P17,C,12,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130003,D12,P17,D,12,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130057,E12,P17,E,12,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130055,F12,P17,F,12,LCO,HCO,#6,y,12/27/2023,,,,,
,G12,P17,G,12,LCO,HCO,#6,n,12/27/2023,,,,,
,H12,P17,H,12,LCO,HCO,#6,n,12/27/2023,,,,,
CASENT9130746,A1,P18,A,1,LCO,CFMRb,5 - Pitohui,n,8/24/2023,y,well completely cracked,LCO/Rb,,
CASENT9130406,B1,P18,B,1,LCO,CFMRb,5 - Pitohui,n,8/24/2023,,,LCO/Rb,,
CASENT9130710,C1,P18,C,1,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,y,
CASENT9130306,D1,P18,D,1,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,y,
CASENT9130018,E1,P18,E,1,LCO,CFMRb,5 - Pitohui,n,8/24/2023,,,LCO/Rb,,
CASENT9130040,F1,P18,F,1,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,y,
CASENT9130694,G1,P18,G,1,LCO,CFMRb,5 - Pitohui,n,8/24/2023,,,LCO/Rb,,
CASENT9131059,H1,P18,H,1,LCO,CFMRb,5 - Pitohui,n,8/24/2023,y,no DNA; no primer dimer,LCO/Rb,,
CASENT9131019,A2,P18,A,2,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,,
CASENT9131007,B2,P18,B,2,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,,
CASENT9130722,C2,P18,C,2,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,,
CASENT9130389,D2,P18,D,2,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,,
CASENT9130567,E2,P18,E,2,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,,
CASENT9130597,F2,P18,F,2,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,,
CASENT9130606,G2,P18,G,2,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,,
CASENT9131123,H2,P18,H,2,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,y,
CASENT9131299,A3,P18,A,3,LCO,CFMRb,5 - Pitohui,y,8/24/2023,,,LCO/Rb,,
