catalog,well,plate,letter,number,primer_f,primer_r,thermocycler,band,date,flag,notes,primers,evaporated,
23S771,E7,CDFA_P1,E,7,LCO,HCO,#6,n,12/18/2023,,,,,
23S785,F7,CDFA_P1,F,7,LCO,HCO,#6,n,12/18/2023,,,,,
23S792,G7,CDFA_P1,G,7,LCO,HCO,#6,n,12/18/2023,,,,,
23S807,H7,CDFA_P1,H,7,LCO,HCO,#6,n,12/18/2023,,,,,
23S742,A8,CDFA_P1,A,8,LCO,HCO,#6,n,12/18/2023,,,,,
23S755,B8,CDFA_P1,B,8,LCO,HCO,#6,n,12/18/2023,,,,,
23S682,C8,CDFA_P1,C,8,LCO,HCO,#6,y,12/18/2023,,,,,
23S468,D8,CDFA_P1,D,8,LCO,HCO,#6,n,12/18/2023,,,,,
23S777,E8,CDFA_P1,E,8,LCO,HCO,#6,n,12/18/2023,,,,,
23S784,F8,CDFA_P1,F,8,LCO,HCO,#6,n,12/18/2023,,,,,
23S793,G8,CDFA_P1,G,8,LCO,HCO,#6,y,12/18/2023,,,,,
23S808,H8,CDFA_P1,H,8,LCO,HCO,#6,n,12/18/2023,,,,,
23S652,A9,CDFA_P1,A,9,LCO,HCO,#6,n,12/18/2023,,,,,
23S470,B9,CDFA_P1,B,9,LCO,HCO,#6,n,12/18/2023,,,,,
23S686,C9,CDFA_P1,C,9,LCO,HCO,#6,n,12/18/2023,,,,,
23S764,D9,CDFA_P1,D,9,LCO,HCO,#6,n,12/18/2023,,,,,
23S778,E9,CDFA_P1,E,9,LCO,HCO,#6,n,12/18/2023,,,,,
23S469,F9,CDFA_P1,F,9,LCO,HCO,#6,n,12/18/2023,,,,,
23S794,G9,CDFA_P1,G,9,LCO,HCO,#6,n,12/18/2023,,,,,
23S809,H9,CDFA_P1,H,9,LCO,HCO,#6,n,12/18/2023,,,,,
23S812,A10,CDFA_P1,A,10,LCO,HCO,#6,n,12/18/2023,,,,,
23S815,B10,CDFA_P1,B,10,LCO,HCO,#6,n,12/18/2023,,,,,
23S817,C10,CDFA_P1,C,10,LCO,HCO,#6,n,12/18/2023,,,,,
23S820,D10,CDFA_P1,D,10,LCO,HCO,#6,n,12/18/2023,,,,,
23S828,E10,CDFA_P1,E,10,LCO,HCO,#6,n,12/18/2023,,,,,
23S834,F10,CDFA_P1,F,10,LCO,HCO,#6,n,12/18/2023,,,,,
23S824,G10,CDFA_P1,G,10,LCO,HCO,#6,n,12/18/2023,,,,,
23S837,H10,CDFA_P1,H,10,LCO,HCO,#6,n,12/18/2023,,,,,
23S811,A11,CDFA_P1,A,11,LCO,HCO,#6,n,12/18/2023,,,,,
23S814,B11,CDFA_P1,B,11,LCO,HCO,#6,y,12/18/2023,,,,,
